,text,confidence,pos1,pos2,pos3,pos4,lab,pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos1_x_org,pos1_y_org,pos3_x_org,pos3_y_org,grp
0,Spesial,0.993894100189209,"[955, 7]","[1152, 14]","[1151, 70]","[954, 64]",0,951,3,1156,10,1155,74,950,68,955,7,1151,70,-1
1,Promo,0.9886085391044617,"[806, 20]","[933, 16]","[934, 60]","[808, 64]",1,802,16,937,12,938,64,804,68,806,20,934,60,-1
2,Alfamart,0.9582542777061462,"[64, 30]","[348, 35]","[347, 87]","[63, 82]",2,60,26,352,31,351,91,59,86,64,30,347,87,-1
3,Hari Saja!,0.922915518283844,"[574, 33]","[744, 44]","[742, 84]","[571, 74]",3,570,29,748,40,746,88,567,78,574,33,742,84,-1
4,idul Adha,0.8860327005386353,"[794, 66]","[1146, 71]","[1145, 150]","[793, 145]",4,790,62,1150,67,1149,154,789,149,794,66,1145,150,-1
5,16-20Jl2021,0.931763231754303,"[587, 87]","[755, 97]","[754, 123]","[586, 112]",5,583,83,759,93,758,127,582,116,587,87,754,123,-1
6,ALFAMART,0.9851710796356201,"[124, 195]","[309, 195]","[309, 220]","[124, 220]",6,120,191,313,191,313,224,120,224,124,195,309,220,4
7,SANIA,0.9752155542373657,"[697, 195]","[801, 195]","[801, 222]","[697, 222]",7,693,191,805,191,805,226,693,226,697,195,801,222,3
8,Beras Setra Pulen 5kg,0.9309848546981812,"[121, 229]","[411, 229]","[411, 255]","[121, 255]",8,117,225,415,225,415,259,117,259,121,229,411,255,4
9,Beras Premium 5kg,0.9538116455078125,"[695, 227]","[951, 229]","[951, 255]","[695, 252]",9,691,223,955,225,955,259,691,256,695,227,951,255,3
10,Rp64.000,0.9197396039962769,"[393, 269]","[526, 269]","[526, 295]","[393, 295]",10,389,265,530,265,530,299,389,299,393,269,526,295,4
11,57.500,0.9832937717437744,"[392, 301]","[521, 301]","[521, 337]","[392, 337]",11,388,297,525,297,525,341,388,341,392,301,521,337,4
12,AHamart,0.8063023686408997,"[158, 315]","[219, 315]","[219, 333]","[158, 333]",12,154,311,223,311,223,337,154,337,158,315,219,333,4
13,5,0.8607499003410339,"[727, 309]","[755, 315]","[750, 337]","[722, 331]",13,723,305,759,311,754,341,718,335,727,309,750,337,3
14,"Jambi,Medan",0.9461635947227478,"[387, 345]","[520, 347]","[520, 369]","[387, 367]",14,383,341,524,343,524,373,383,371,387,345,520,369,4
15,ERAS,0.9907265305519104,"[171, 354]","[215, 354]","[215, 377]","[171, 377]",15,167,350,219,350,219,381,167,381,171,354,215,377,4
